Database;species;species_tpl;plant.duration;Germination_p;Height_cm;LDMC_mg.g;LeafN.mass_mg.g;Root.diameter_mm;RootN.mass_mg.g;RS.ratio;Seed.mass_mg;SLA_mm2.mg;SRL_m.g;RMF_g.g;Root.depth_cm;Root.tissue.density_g.cm3
Groot;Sporobolus contractus;Sporobolus contractus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;130;NA
Groot;Sporobolus nealleyi;Sporobolus nealleyi;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19;NA
Groot;Sporobolus tenellus;Sporobolus tenellus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;NA
Groot;Stipa humilis;Stipa humilis;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45;NA
Groot;Stipa lettermanii;Stipa lettermanii;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA
Groot;Stipa speciosa;Stipa speciosa;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA
Groot;Stipagrostis brevifolia;Stipagrostis brevifolia;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107.5;NA
Groot;Agropyron michnoi;Agropyron michnoi;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;100.6025;NA;NA;NA
Groot;Hierochloe glabra;Hierochloe glabra;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;81.0925;NA;NA;NA
Groot;Stipa baicalensis;Stipa baicalensis;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;78.97;NA;NA;NA
Groot;Stipa breviflora;Stipa breviflora;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;65.3125;NA;NA;NA
Craine2003_Oikos;Elymus repens;Elymus repens;perennial;NA;NA;NA;NA;0.3;NA;NA;NA;14.129;NA;NA;NA;0.11
Craine2003_Oikos;Poa nemoralis;Poa nemoralis;perennial;NA;NA;NA;NA;0.25;NA;NA;NA;15.188;NA;NA;NA;0.12
Craine2003_Oikos;Agrostis scabra;Agrostis scabra;perennial;NA;NA;NA;NA;0.21;NA;NA;NA;13.5;NA;NA;NA;0.2
Craine2003_Oikos;Andropogon gerardii;Andropogon gerardii;perennial;NA;NA;NA;NA;0.31;NA;NA;NA;13.75;NA;NA;NA;0.24
Craine2003_Oikos;Bouteloua curtipendula;Bouteloua curtipendula;perennial;NA;NA;NA;NA;0.32;NA;NA;NA;10.896;NA;NA;NA;0.19
Craine2003_Oikos;Calamagrostis canadensis;Calamagrostis canadensis;perennial;NA;NA;NA;NA;0.22;NA;NA;NA;12.831;NA;NA;NA;0.11
Craine2003_Oikos;Calamovilfa longifolia;Calamovilfa longifolia;perennial;NA;NA;NA;NA;0.48;NA;NA;NA;8.642;NA;NA;NA;0.18
Craine2003_Oikos;Elymus canadensis;Elymus canadensis;perennial;NA;NA;NA;NA;0.23;NA;NA;NA;13.608;NA;NA;NA;0.09
Craine2003_Oikos;Eragrostis trichodes;Eragrostis trichodes;perennial;NA;NA;NA;NA;0.21;NA;NA;NA;13.633;NA;NA;NA;0.39
Craine2003_Oikos;Festuca ovina;Festuca ovina;perennial;NA;NA;NA;NA;0.2;NA;NA;NA;12.055;NA;NA;NA;0.18
Craine2003_Oikos;Festuca rubra;Festuca rubra;perennial;NA;NA;NA;NA;0.22;NA;NA;NA;15.361;NA;NA;NA;0.17
Craine2003_Oikos;Cinnagrostis micrathera;Cinnagrostis micrathera;perennial;NA;NA;NA;NA;0.26;NA;NA;NA;5.028;NA;NA;NA;0.29
Craine2003_Oikos;Panicum capillare;Panicum capillare;annual;NA;NA;NA;NA;0.2;NA;NA;NA;21.667;NA;NA;NA;0.14
Craine2003_Oikos;Panicum virgatum;Panicum virgatum;perennial;NA;NA;NA;NA;0.44;NA;NA;NA;13.171;NA;NA;NA;0.19
